what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1587314447337
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1587314447338
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1587314447338
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1587314447340
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1587314447340
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1587314447341
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1587314447341
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1587314447342
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1587314447342
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1587314447342
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1587314447343
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1587314447343
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1587314447343
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1587314447345
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1587314447345
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1587314447346
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1587314447346
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1587314447347
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1587314447347
os,sysinfo,,,"win32",1587314447350
arch,sysinfo,,,"x86",1587314447350
ws,sysinfo,,,"win32",1587314447350
locale,sysinfo,,,"de_DE",1587314447350
processors,sysinfo,,,"8",1587314447350
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1587314447350
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1587314447350
java.specification.name,sysinfo,,,"Java Platform API Specification",1587314447350
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1587314447350
java.specification.version,sysinfo,,,"1.6",1587314447350
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1587314447350
java.version,sysinfo,,,"1.6.0_20",1587314447350
java.vm.info,sysinfo,,,"mixed mode",1587314447350
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1587314447350
